epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1790.56,0.3339,0.24752,0.28501,0.80568,0.98041,0.9697,0.99412,0.91605,0.98041,0.9697,0.99412,0.89207,0.35148,0.54687,0.34784,0.78529,0.0003764,0.0003764,0.0003764
84,1797.15,0.34452,0.25801,0.29683,0.83867,1,0.96522,0.99412,0.92052,1,0.96522,0.99412,0.87119,0.34207,0.5738,0.34105,0.77747,0.0003566,0.0003566,0.0003566
85,1803.66,0.31486,0.25642,0.27521,0.82457,0.97053,0.99793,0.99412,0.94131,0.97053,0.99793,0.99412,0.87878,0.33956,0.50956,0.33021,0.7785,0.0003368,0.0003368,0.0003368
86,1810.26,0.3441,0.26412,0.29237,0.82849,0.97027,1,0.99412,0.92196,0.97027,1,0.99412,0.92425,0.35141,0.455,0.32876,0.77659,0.000317,0.000317,0.000317
87,1817.33,0.33363,0.25892,0.27874,0.8042,0.96963,1,0.99412,0.92771,0.96963,1,0.99412,0.94314,0.33279,0.40724,0.31981,0.7704,0.0002972,0.0002972,0.0002972
88,1824.25,0.33025,0.28319,0.2837,0.8227,0.96706,1,0.99412,0.9336,0.96706,1,0.99412,0.93575,0.31353,0.39469,0.30632,0.76266,0.0002774,0.0002774,0.0002774
89,1831.46,0.29932,0.24263,0.25795,0.8142,1,0.9908,0.995,0.9444,1,0.9908,0.995,0.91504,0.3065,0.39496,0.27372,0.76475,0.0002576,0.0002576,0.0002576
90,1842.25,0.30515,0.27496,0.26872,0.80944,1,0.99313,0.995,0.94877,1,0.99313,0.995,0.91998,0.31462,0.40123,0.28325,0.76863,0.0002378,0.0002378,0.0002378
91,1885.68,0.28063,0.25135,0.26171,0.80477,1,0.99538,0.995,0.92905,1,0.99538,0.995,0.90619,0.34454,0.44157,0.28538,0.77668,0.000218,0.000218,0.000218
92,1899.11,0.29299,0.24375,0.25452,0.80938,0.98456,1,0.995,0.9307,0.98456,1,0.995,0.88898,0.33602,0.45707,0.29557,0.78338,0.0001982,0.0001982,0.0001982
93,1908.1,0.28636,0.24703,0.25713,0.81665,1,0.99301,0.995,0.92598,1,0.99301,0.995,0.90079,0.33982,0.45785,0.3059,0.7864,0.0001784,0.0001784,0.0001784
94,1914.27,0.28787,0.24536,0.24832,0.8068,1,0.99534,0.995,0.93954,1,0.99534,0.995,0.90421,0.33142,0.44131,0.3261,0.78322,0.0001586,0.0001586,0.0001586
95,1920.5,0.27501,0.23866,0.23824,0.80133,0.99562,0.9697,0.99412,0.94829,0.99562,0.9697,0.99412,0.91738,0.31935,0.42729,0.32108,0.77635,0.0001388,0.0001388,0.0001388
96,1926.69,0.28196,0.25018,0.24001,0.79016,0.97037,0.99267,0.99412,0.94801,0.97037,0.99267,0.99412,0.91422,0.31776,0.44639,0.3222,0.77886,0.000119,0.000119,0.000119
97,1932.92,0.27826,0.24619,0.24166,0.78969,0.97049,0.99675,0.99324,0.93663,0.97049,0.99675,0.99324,0.91139,0.32499,0.44838,0.3069,0.78082,9.92e-05,9.92e-05,9.92e-05
98,1939.19,0.26895,0.21313,0.24084,0.80533,0.97048,0.99644,0.99235,0.94816,0.97048,0.99644,0.99235,0.91273,0.31209,0.44859,0.29777,0.77648,7.94e-05,7.94e-05,7.94e-05
99,1945.43,0.26287,0.23197,0.23101,0.78652,0.97047,0.99614,0.99235,0.93976,0.97047,0.99614,0.99235,0.90982,0.3118,0.45888,0.31489,0.78099,5.96e-05,5.96e-05,5.96e-05
100,1952.84,0.27271,0.2429,0.23656,0.79944,0.9705,0.9971,0.99324,0.92987,0.9705,0.9971,0.99324,0.9111,0.32068,0.46177,0.32135,0.78212,3.98e-05,3.98e-05,3.98e-05
